N,fx,fy,fs,n_neighbors,metric,weights,accuracy,precision,recall,f1,inference_10k_s,fit_time_s
100,17,39,450,15,euclidean,distance,88.59,88.61373978,88.45975587,88.44574807,0.8246508,0.0049547
100,17,39,450,15,euclidean,uniform,88.34,88.36542917,88.19537586,88.18302548,0.8351152,0.0065208
100,17,39,450,15,manhattan,distance,88.83,88.96101327,88.71318745,88.70118698,6.8302808,0.0051655
100,17,39,450,15,manhattan,uniform,88.62,88.77215938,88.49239921,88.48228215,6.8396509,0.0054102
100,17,39,450,3,euclidean,distance,88.38,88.27453097,88.25372932,88.22413971,0.7985776,0.0055185
100,17,39,450,3,euclidean,uniform,88.25,88.18352991,88.10310941,88.0850741,0.7405409,0.0044651
100,17,39,450,3,manhattan,distance,88.94,88.89730864,88.8283152,88.79074994,6.6644254,0.0053527
100,17,39,450,3,manhattan,uniform,88.56,88.58353587,88.42621476,88.40589259,6.8266345,0.0048641
100,17,39,450,5,euclidean,distance,88.98,88.90965239,88.85944904,88.83979628,0.7940379,0.0065006
100,17,39,450,5,euclidean,uniform,88.84,88.77632904,88.7079872,88.69005205,0.7956618,0.0048017
100,17,39,450,5,manhattan,distance,89.29,89.29458069,89.17696607,89.1523646,6.7818872,0.0045187
100,17,39,450,5,manhattan,uniform,88.95,88.97100191,88.82334258,88.79646093,6.8521311,0.0055097
100,17,39,450,7,euclidean,distance,89,88.96887465,88.87833489,88.86241401,0.8020554,0.0050106
100,17,39,450,7,euclidean,uniform,88.76,88.7248796,88.63086356,88.61044017,0.8131509,0.0046464
100,17,39,450,7,manhattan,distance,89.11,89.1482864,89.00126358,88.97523288,6.7779394,0.0053614
100,17,39,450,7,manhattan,uniform,88.91,88.96489429,88.79129989,88.76762185,6.9206216,0.0072368
200,37,23,800,15,euclidean,distance,92.39,92.41961517,92.31262888,92.3162744,1.3517651,0.0102357
200,37,23,800,15,euclidean,uniform,92.31,92.33912812,92.23049275,92.23412056,1.3670564,0.0076329
200,37,23,800,15,manhattan,distance,91.97,92.14499451,91.89086226,91.91790363,14.1988259,0.0081171
200,37,23,800,15,manhattan,uniform,91.75,91.9491114,91.66016094,91.69460062,14.056995,0.0085621
200,37,23,800,3,euclidean,distance,92.45,92.40521806,92.37511649,92.36124785,1.3493255,0.0072522
200,37,23,800,3,euclidean,uniform,92.32,92.28963904,92.22849557,92.22208767,1.315159,0.0101438
200,37,23,800,3,manhattan,distance,91.9,91.9381235,91.80352522,91.8119342,14.159931,0.0089881
200,37,23,800,3,manhattan,uniform,91.74,91.8052541,91.6250733,91.64123719,14.2423059,0.0076603
200,37,23,800,5,euclidean,distance,92.86,92.83657797,92.787122,92.7808755,1.4118659,0.0072601
200,37,23,800,5,euclidean,uniform,92.77,92.74121451,92.68201139,92.67723515,1.3393028,0.0070771
200,37,23,800,5,manhattan,distance,92.43,92.46641785,92.34719224,92.35266645,14.2660829,0.0074075
200,37,23,800,5,manhattan,uniform,92.31,92.3752063,92.21582634,92.22741812,14.1780074,0.0082041
200,37,23,800,7,euclidean,distance,92.58,92.56880223,92.49740316,92.49786797,1.6339663,0.0112779
200,37,23,800,7,euclidean,uniform,92.61,92.6059355,92.51721362,92.524167,1.472922,0.0092627
200,37,23,800,7,manhattan,distance,92.55,92.63728358,92.47141655,92.48648055,14.1814742,0.0093417
200,37,23,800,7,manhattan,uniform,92.35,92.44666755,92.25908777,92.27483483,14.519067,0.0076296
500,39,41,1200,15,euclidean,distance,96.11,96.16351728,96.07658995,96.09766824,2.8277206,0.0293914
500,39,41,1200,15,euclidean,uniform,96.07,96.13053528,96.03475741,96.05880745,2.969649,0.0276302
